token_address,TokenName
0xb17C88bDA07D28B3838E0c1dE6a30eAfBCF52D85,Shyft [ Wrapped ] (SHFT)
0x77FbA179C79De5B7653F68b5039Af940AdA60ce0,Ampleforth Governance (FORTH)
0xDe30da39c46104798bB5aA3fe8B9e0e1F348163F,Gitcoin (GTC)
0x0391D2021f89DC339F60Fff84546EA23E337750f,BarnBridge Governance Token (BOND)
0x5Ca381bBfb58f0092df149bD3D243b08B9a8386e,MXCToken (MXC)
0x5e3346444010135322268a4630d2ED5F8D09446c,LockTrip (LOC)
0xb59490aB09A0f526Cc7305822aC65f2Ab12f9723,Litentry (LIT)
0xd0929d411954c47438dc1d871dd6081F5C5e149c,Refereum (RFR)
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token (EURS)
0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0,Tellor Tributes (TRB)
0x584bC13c7D411c00c01A62e8019472dE68768430,Hegic (HEGIC)
0x0d438F3b5175Bebc262bF23753C1E53d03432bDE,Wrapped NXM (wNXM)
0x91Af0fBB28ABA7E31403Cb457106Ce79397FD4E6,Aergo (AERGO)
0x56d811088235F11C8920698a204A5010a788f4b3,bZx Protocol Token (BZRX)
0xad3E3Fc59dff318BecEaAb7D00EB4F68b1EcF195,Wrapped Celo USD (wCUSD)
0xcB97e65F07DA24D46BcDD078EBebd7C6E6E3d750,Bytom (BTM)
0x3593D125a4f7849a1B059E64F4517A86Dd60c95d,MANTRA DAO (OM)
0x037A54AaB062628C9Bbae1FDB1583c195585fe41,LCX (LCX)
0x84cA8bc7997272c7CfB4D0Cd3D55cd942B3c9419,DIAToken (DIA)
0xEE06A81a695750E71a662B51066F2c74CF4478a0,decentral.games ($DG)
0x6C8c6b02E7b2BE14d4fA6022Dfd6d75921D90E4E,Compound Basic Attention Token (cBAT)
0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF,Rarible (RARI)
0x2F109021aFe75B949429fe30523Ee7C0D5B27207,OCC (OCC)
0x0Ae055097C6d159879521C384F1D2123D1f195e6,STAKE (STAKE)
0xD7EFB00d12C2c13131FD319336Fdf952525dA2af,Proton (XPR)
0x57B946008913B82E4dF85f501cbAeD910e58D26C,Marlin POND (POND)
0x70e8dE73cE538DA2bEEd35d14187F6959a8ecA96,XSGD (XSGD)
0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d,Pinakion (PNK)
0xCF3C8Be2e2C42331Da80EF210e9B1b307C03d36A,BetProtocolToken (BEPRO)
0x362bc847A3a9637d3af6624EeC853618a43ed7D2,Parsiq Token (PRQ)
0x431ad2ff6a9C365805eBaD47Ee021148d6f7DBe0,dForce (DF)
0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,UnFederalReserveToken (eRSDL)
0x419c4dB4B9e25d6Db2AD9691ccb832C8D9fDA05E,Dragon (DRGN)
0xE5Dada80Aa6477e85d09747f2842f7993D0Df71C,Dock (DOCK)
0x940a2dB1B7008B6C776d4faaCa729d6d4A4AA551,Dusk Network (DUSK)
0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,Sai Stablecoin v1.0 (SAI)
0x0000000000095413afC295d19EDeb1Ad7B71c952,LON Token (LON)
0xE0B7927c4aF23765Cb51314A0E0521A9645F0E2A,DGD (DGD)
0xa3d58c4E56fedCae3a7c43A725aeE9A71F0ece4e,Metronome (MET)
0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,UniLend Finance Token (UFT)
0x226bb599a12C826476e3A771454697EA52E9E220,Propy (PRO)
0xb683D83a532e2Cb7DFa5275eED3698436371cc9f,BTU Protocol (BTU)
0xb6EE9668771a79be7967ee29a63D4184F8097143,CargoX (CXO)
0xa2791BdF2D5055Cda4d46EC17f9F429568275047,Nuls (NULS)
0x618E75Ac90b12c6049Ba3b27f5d5F8651b0037F6,QASH (QASH)
0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,Veritaseum (VERI)
0x1614F18Fc94f47967A3Fbe5FfcD46d4e7Da3D787,PAID Network (PAID)
0x9B02dD390a603Add5c07f9fd9175b7DABE8D63B7,Shopping.io (SPI)
0xDFe66B14D37C77F4E9b180cEb433d1b164f0281D,stakedETH (stETH)
0x8a854288a5976036A725879164Ca3e91d30c6A1B,Guaranteed Entrance Token (GET)
0xfB7B4564402E5500dB5bB6d63Ae671302777C75a,DEXTools (DEXT)
0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,BitMartToken (BMC)
0xb753428af26E81097e7fD17f40c88aaA3E04902c,Spice (SFI)
0x27054b13b1B798B345b591a4d22e6562d47eA75a,AirSwap (AST)
0x1c48f86ae57291F7686349F12601910BD8D470bb,USDK (USDK)
0x99ea4dB9EE77ACD40B119BD1dC4E33e1C070b80d,Quantstamp (QSP)
0x8B39B70E39Aa811b69365398e0aACe9bee238AEb,PolkaFoundry (PKF)
0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,Raiden (RDN)
0x1b40183EFB4Dd766f11bDa7A7c3AD8982e998421,VesperToken (VSP)
0x9B99CcA871Be05119B2012fd4474731dd653FEBe,Antimatter.Finance Governance Token (MATTER)
0xF4d861575ecC9493420A3f5a14F85B13f0b50EB3,Fractal Protocol Token (FCL)
0x0cEC1A9154Ff802e7934Fc916Ed7Ca50bDE6844e,PoolTogether (POOL)
0x3aFfCCa64c2A6f4e3B6Bd9c64CD2C969EFd1ECBe,DSLA (DSLA)
0x89Ab32156e46F46D02ade3FEcbe5Fc4243B9AAeD,pNetwork Token (PNT)
0x746DdA2ea243400D5a63e0700F190aB79f06489e,BOSAGORA (BOA)
0x1796ae0b0fa4862485106a0de9b654eFE301D0b2,Polkamon (PMON)
0x626E8036dEB333b408Be468F951bdB42433cBF18,AIOZ Network (AIOZ)
0x340D2bdE5Eb28c1eed91B2f790723E3B160613B7,BLOCKv (VEE)
0x954b890704693af242613edEf1B603825afcD708,Cardstack (CARD)
0xee573a945B01B788B9287CE062A0CFC15bE9fd86,Exeedme (XED)
0xAAA7A10a8ee237ea61E8AC46C50A8Db8bCC1baaa,QANX Token (QANX)
0x15B543e986b8c34074DFc9901136d9355a537e7E,Student Coin (STC)
0xd4c435F5B09F855C3317c8524Cb1F586E42795fa,Cindicator (CND)
0x1955d744F9435522Be508D1Ba60E3c12D0690B6A,WPPToken (WPP)
0xF5581dFeFD8Fb0e4aeC526bE659CFaB1f8c781dA,HOPR Token (HOPR)
0xE1c7E30C42C24582888C758984f6e382096786bd,Curate (XCUR)
0x0C6f5F7D555E7518f6841a79436BD2b1Eef03381,CocosToken (COCOS)
0xE5B826Ca2Ca02F09c1725e9bd98d9a8874C30532,ZEON (ZEON)
0xe2f2a5C287993345a840Db3B0845fbC70f5935a5,mStable USD (mUSD)
0xc3761EB917CD790B30dAD99f6Cc5b4Ff93C4F9eA,ERC20 (ERC20)
0x814e0908b12A99FeCf5BC101bB5d0b8B5cDf7d26,Measurable Data Token (MDT)
0xd4fa1460F537bb9085d22C7bcCB5DD450Ef28e3a,Populous (PPT)
0x9469D013805bFfB7D3DEBe5E7839237e535ec483,Darwinia Network Native Token (RING)
0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,Dogelon (ELON)
0x72dD4b6bd852A3AA172Be4d6C5a6dbEc588cf131,NAGA Coin (NGC)
0xE884cc2795b9c45bEeac0607DA9539Fd571cCF85,Ultiledger (ULT)
0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4,Route (ROUTE)
0x08c32b0726C5684024ea6e141C50aDe9690bBdcc,Stratos Token (STOS)
0x6149C26Cd2f7b5CCdb32029aF817123F6E37Df5B,Launchpool token (LPOOL)
0x4CC19356f2D37338b9802aa8E8fc58B0373296E7,SelfKey (KEY)
0x6531f133e6DeeBe7F2dcE5A0441aA7ef330B4e53,TIME (TIME)
0x4946Fcea7C692606e8908002e55A582af44AC121,FOAM Token (FOAM)
0x4a527d8fc13C5203AB24BA0944F4Cb14658D1Db6,Morpheus Infrastructure Token (MITx)
0x808507121B80c02388fAd14726482e061B8da827,Pendle (PENDLE)
0x1337DEF16F9B486fAEd0293eb623Dc8395dFE46a,Armor (ARMOR)
0xcfcEcFe2bD2FED07A9145222E8a7ad9Cf1Ccd22A,Adshares (ADS)
0x02F61Fd266DA6E8B102D4121f5CE7b992640CF98,LikeCoin (LIKE)
0x544c42fBB96B39B21DF61cf322b5EDC285EE7429,InsurAce (INSUR)
0x298d492e8c1d909D3F63Bc4A36C66c64ACB3d695,PolkaBridge (PBR)
0x8971f9fd7196e5cEE2C1032B50F656855af7Dd26,Lambda (LAMB)
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,Amber (AMB)
0xb9EF770B6A5e12E45983C5D80545258aA38F3B78,0chain (ZCN)
0x2781246fe707bB15CeE3e5ea354e2154a2877B16,ELYSIA (EL)
0x4c11249814f11b9346808179Cf06e71ac328c1b5,Oraichain Token (ORAI)
0x7865af71cf0b288b4E7F654f4F7851EB46a2B7F8,Sentivate (SNTVT)
0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,Meta (MTA)
0x2Ab6Bb8408ca3199B8Fa6C92d5b455F820Af03c4,TE-FOOD/TustChain (TONE)
0x054D64b73d3D8A21Af3D764eFd76bCaA774f3Bb2,Plasma (PPAY)
0x103c3A209da59d3E7C4A89307e66521e081CFDF0,Genesis Vision (GVT)
0xca1207647Ff814039530D7d35df0e1Dd2e91Fa84,dHedge DAO Token (DHT)
0x5a666c7d92E5fA7Edcb6390E4efD6d0CDd69cF37,UnmarshalToken (MARSH)
0xB98d4C97425d9908E66E53A6fDf673ACcA0BE986,ArcBlock (ABT)
0xaD22f63404f7305e4713CcBd4F296f34770513f4,Atomic Wallet Token (AWC)
0x7C5A0CE9267ED19B22F8cae653F198e3E8daf098,SAN (SAN)
0xc5bDdf9843308380375a611c18B50Fb9341f502A,veCRV-DAO yVault (yveCRV-DAO)
0x6425c6BE902d692AE2db752B3c268AFAdb099D3b,RED MWAT (MWAT)
