token_address,decimals
0xCecFB3843bc8645bBB86ca4aaEac0E794561fd88,18
0x58b6A8A3302369DAEc383334672404Ee733aB239,18
0xEA610B1153477720748DC13ED378003941d84fAB,18
0x7CC62d8E80Be9bEa3947F3443aD136f50f75b505,18
0xD83A162d4808c370A1445646e64CC4861eB60b92,8
0xFbC1473E245b8AfBbA3b46116e0B01f91A026633,0
0x02FdD6866333D8Cd8B1ca022d382080698060BC2,18
0x22a39C2DD54b71aC884657bb3e37308ABe2D02E1,0
0xF906997808F73B09C1007B98Ab539b189282b192,3
0x4FbB350052Bca5417566f188eB2EBCE5b19BC964,18
0xB4742e2013f96850a5CeF850A3bB74cF63B9a5D5,18
0x168079C89f0Fd13E021d69c9Ea4859B4353535FC,18
0xD6F0Bb2A45110f819e908a915237D652Ac7c5AA8,18
0xF7bD275F39802e7D4A9604547B6548150b63E440,5
0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,18
0xe343245DE92181bc06ba5Cd1152C705A2C5F3E2F,18
0x3296294a172d541c548819875e027B5fcB3e4a85,6
0x40428FDD5588197C15DD00B22fe9b9A48afeEb23,18
0x970B9bB2C0444F5E81e9d0eFb84C8ccdcdcAf84d,18
0xD8912C10681D8B21Fd3742244f44658dBA12264E,18
0x0a4b2d4B48a63088e0897a3F147Ba37f81a27722,18
0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,18
0x7dE91B204C1C737bcEe6F000AAA6569Cf7061cb7,9
0xaA7a9CA87d3694B5755f213B5D04094b8d0F0A6F,18
0x8888889213DD4dA823EbDD1e235b09590633C150,18
0x818Fc6C2Ec5986bc6E2CBf00939d90556aB12ce5,18
0x5c248Af2FaFDFFA820A3F54Bfc35beF9b5879b5C,18
0x1C5db575E2Ff833E46a2E9864C22F4B22E0B37C2,8
0x277697FA7C134A7Fcc2AAAf812Bdf1FD8b68B818,18
0x8BA6DcC667d3FF64C1A2123cE72FF5F0199E5315,4
0x7C5A0CE9267ED19B22F8cae653F198e3E8daf098,18
0xd07D9Fe2d2cc067015E2b4917D24933804f42cFA,18
0xa9fBB83a2689F4fF86339a4b96874d718673b627,18
0xFCCe9526E030F1691966d5A651F5EbE1A5B4C8E4,18
0xf7D1f35518950E78c18E5A442097cA07962f4D8A,18
0x0cB8D0B37C7487b11d57F1f33dEfA2B1d3cFccfE,18
0x49d716DFe60b37379010A75329ae09428f17118d,18
0xdB25f211AB05b1c97D595516F45794528a807ad8,2
0x6F02055E3541DD74A1aBD8692116c22fFAFaDc5D,18
0xf67041758D3B6e56D6fDafA5B32038302C3634DA,18
0xA7d768EbD9915793393F117f8aB10F4A206875d8,18
0x09fE5f0236F0Ea5D930197DCE254d77B04128075,18
0xDD436a0Dce9244B36599AE7b22f0373b4e33992d,18
0x6FBF4e57EC93cDd33c74762f7d99694228a68Cd2,2
0x26946adA5eCb57f3A1F91605050Ce45c482C9Eb1,8
0x0Ae055097C6d159879521C384F1D2123D1f195e6,18
0xAF350211414C5DC176421Ea05423F0cC494261fB,4
0x61CEAc48136d6782DBD83c09f51E23514D12470a,0
0x85E46768B300e675E2EA39bbab6C428b8aB8Fb02,18
0x171664573e3969874DBa31c35082151Ea4f181F3,18
0xc3761EB917CD790B30dAD99f6Cc5b4Ff93C4F9eA,18
0x3e370A6c8255b065bD42bc0AC9255b269CFcC172,8
0x8AA225299cE56d53F06722c173d99a98ffc4780F,18
0x7D29A64504629172a429e64183D6673b9dAcbFCe,18
0x95dAaaB98046846bF4B2853e23cba236fa394A31,8
0x2C537E5624e4af88A7ae4060C022609376C8D0EB,6
0x6c6EE5e31d828De241282B9606C8e98Ea48526E2,18
0xE85d69D5e7B91b1A0D2E93a3678315E6915197B2,4
0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,18
0xA4e8C3Ec456107eA67d3075bF9e3DF3A75823DB0,18
0x6810e776880C02933D47DB1b9fc05908e5386b96,18
0x419D0d8BdD9aF5e606Ae2232ed285Aff190E711b,8
0x8762db106B2c2A0bccB3A80d1Ed41273552616E8,18
0x1C5857e110CD8411054660F60B5De6a6958CfAE2,18
0x85Eee30c52B0b379b046Fb0F85F4f3Dc3009aFEC,18
0x41e5560054824eA6B0732E656E3Ad64E20e94E45,8
0x4a527d8fc13C5203AB24BA0944F4Cb14658D1Db6,18
0xa3d58c4E56fedCae3a7c43A725aeE9A71F0ece4e,18
0x6531f133e6DeeBe7F2dcE5A0441aA7ef330B4e53,8
0x985dd3D42De1e256d09e1c10F112bCCB8015AD41,18
0x444997b7e7fC830E20089afea3078cd518fCF2A2,18
0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,18
